Date,Number of Articles,SectionName
2018-03-05,1,Books
2018-03-05,1,Business
2018-03-05,1,Film
2018-03-05,1,Food
2018-03-05,1,Music
2018-03-05,1,Technology
2018-03-05,1,World news
2018-03-07,1,Film
2018-03-07,1,Football
2018-03-07,1,UK news
2018-03-07,1,World news
2018-03-08,1,Business
2018-03-08,1,Fashion
2018-03-08,1,Politics
2018-03-08,1,World news
2018-03-09,1,Music
2018-03-09,1,Sport
2018-03-10,1,Sport
2018-03-11,1,Art and design
2018-03-11,1,Film
2018-03-11,2,Music
2018-03-11,1,Sport
2018-03-11,1,Television & radio
2018-03-12,2,Business
2018-03-12,2,Football
2018-03-12,1,Opinion
2018-03-12,1,Stage
2018-03-12,1,US news
2018-03-13,1,Environment
2018-03-13,1,Society
2018-03-14,1,Australia news
2018-03-14,1,Business
2018-03-14,1,Football
2018-03-14,1,Money
2018-03-14,1,Sport
2018-03-15,2,Australia news
2018-03-15,1,Business
2018-03-15,1,Film
2018-03-15,1,Football
2018-03-15,1,Stage
2018-03-15,1,US news
2018-03-15,1,World news
2018-03-16,1,Fashion
2018-03-16,1,Music
2018-03-16,1,Sport
2018-03-16,1,Technology
2018-03-17,1,Culture
2018-03-17,1,Sport
2018-03-17,1,US news
2018-03-17,1,World news
2018-03-18,1,Film
2018-03-18,1,Global
2018-03-18,1,Opinion
2018-03-18,2,Sport
2018-03-19,2,Sport
2018-03-19,1,World news
2018-03-20,1,Australia news
2018-03-20,1,Fashion
2018-03-20,1,UK news
2018-03-20,1,US news
2018-03-21,1,Books
2018-03-21,1,Environment
2018-03-21,1,Film
2018-03-21,1,Opinion
2018-03-21,1,Sport
2018-03-21,2,World news
2018-03-22,1,Australia news
2018-03-22,1,Football
2018-03-22,1,Music
2018-03-22,2,Opinion
2018-03-22,1,Sport
2018-03-22,2,Technology
2018-03-22,1,UK news
2018-03-22,1,US news
2018-03-22,1,World news
2018-03-23,1,Football
2018-03-23,1,Music
2018-03-23,1,Opinion
2018-03-23,1,Television & radio
2018-03-23,2,UK news
2018-03-23,2,US news
2018-03-23,1,World news
2018-03-24,1,Sport
2018-03-24,1,Technology
2018-03-24,1,World news
2018-03-25,1,Sport
2018-03-25,1,US news
2018-03-26,2,Music
2018-03-26,1,Sport
2018-03-26,1,Television & radio
2018-03-26,1,UK news
2018-03-26,1,World news
2018-03-27,1,Business
2018-03-27,1,Football
2018-03-27,1,Sport
2018-03-27,1,US news
2018-03-28,1,Football
2018-03-28,1,Sport
2018-03-28,1,Technology
2018-03-28,1,UK news
2018-03-29,2,Sport
2018-03-30,1,Music
2018-03-30,2,Sport
2018-03-30,2,World news
2018-03-31,1,Film
2018-03-31,1,Music
2018-03-31,2,Sport
2018-04-01,1,Life and style
2018-04-01,1,Sport
2018-04-01,1,UK news
2018-04-02,1,Life and style
2018-04-02,1,Politics
2018-04-02,2,Sport
2018-04-03,1,Business
2018-04-03,2,World news
2018-04-04,1,Australia news
2018-04-04,1,Food
2018-04-04,1,Football
2018-04-04,1,Media
2018-04-04,1,Music
2018-04-04,1,Sport
2018-04-04,1,Travel
2018-04-04,1,UK news
2018-04-05,2,Sport
2018-04-05,1,Television & radio
2018-04-06,3,Sport
2018-04-07,1,Sport
2018-04-08,1,Film
2018-04-08,1,Music
2018-04-08,1,Sport
2018-04-08,1,World news
2018-04-09,1,Environment
2018-04-09,2,World news
2018-04-10,1,Media
2018-04-10,1,Society
2018-04-10,2,US news
2018-04-11,1,Books
2018-04-11,1,Business to business
2018-04-11,1,Cities
2018-04-11,2,Football
2018-04-11,1,Stage
2018-04-11,1,US news
2018-04-11,1,World news
2018-04-12,1,Books
2018-04-12,1,World news
2018-04-13,1,News
2018-04-13,1,Sport
2018-04-13,2,US news
2018-04-13,2,World news
2018-04-14,1,Sport
2018-04-14,1,US news
2018-04-14,2,World news
2018-04-15,1,Sport
2018-04-16,1,Environment
2018-04-16,2,World news
2018-04-17,2,Culture
2018-04-18,1,Music
2018-04-18,1,Politics
2018-04-18,2,Sport
2018-04-18,1,World news
2018-04-19,2,Business
2018-04-19,1,Global development
2018-04-19,1,Society
2018-04-19,1,Technology
2018-04-19,1,UK news
2018-04-19,3,World news
2018-04-20,1,Music
2018-04-20,2,Sport
2018-04-20,1,UK news
2018-04-20,2,World news
2018-04-22,1,Sport
2018-04-22,1,US news
2018-04-23,2,Sport
2018-04-23,1,World news
2018-04-24,1,Australia news
2018-04-24,1,Opinion
2018-04-24,1,Sport
2018-04-24,4,World news
2018-04-25,1,Business
2018-04-25,1,Football
2018-04-25,1,Sport
2018-04-25,1,Technology
2018-04-25,2,US news
2018-04-26,1,Opinion
2018-04-26,1,Society
2018-04-26,1,Sport
2018-04-26,1,World news
2018-04-27,1,Business
2018-04-27,1,Culture
2018-04-27,1,Music
2018-04-27,1,Sport
2018-04-27,1,World news
2018-04-28,1,Books
2018-04-28,1,Business
2018-04-28,1,US news
2018-04-28,1,World news
2018-04-29,1,News
2018-04-29,1,Society
2018-04-29,1,Sport
2018-04-30,1,Business
2018-04-30,1,Music
2018-04-30,1,Television & radio
2018-05-01,1,Stage
2018-05-01,1,US news
2018-05-01,1,World news
2018-05-02,1,Sport
2018-05-02,1,US news
2018-05-03,1,Australia news
2018-05-03,1,Music
2018-05-03,1,News
2018-05-03,1,Sport
2018-05-03,1,Stage
2018-05-03,1,World news
2018-05-04,1,Football
2018-05-04,1,Media
2018-05-04,2,Opinion
2018-05-04,1,Politics
2018-05-04,1,Sport
2018-05-05,1,Music
2018-05-06,1,Sport
2018-05-07,1,Culture
2018-05-07,1,Inequality
2018-05-07,1,Opinion
2018-05-07,1,Sport
2018-05-08,1,Australia news
2018-05-08,1,Music
2018-05-08,1,Sport
2018-05-08,1,Television & radio
2018-05-08,3,World news
2018-05-09,1,Football
2018-05-09,1,Music
2018-05-09,1,Opinion
2018-05-09,1,Politics
2018-05-09,1,Sport
2018-05-10,1,Business
2018-05-10,2,Football
2018-05-10,2,Sport
2018-05-11,1,Business
2018-05-11,1,Education
2018-05-11,1,Environment
2018-05-11,3,Football
2018-05-11,2,Music
2018-05-11,1,Politics
2018-05-11,1,Sport
2018-05-11,2,Television & radio
2018-05-11,1,US news
2018-05-12,1,Books
2018-05-12,1,Music
2018-05-12,2,Sport
2018-05-12,1,Television & radio
2018-05-12,1,UK news
2018-05-13,1,Music
2018-05-13,1,World news
2018-05-14,1,Environment
2018-05-14,1,Opinion
2018-05-14,2,Sport
2018-05-15,1,Australia news
2018-05-15,1,Fashion
2018-05-15,1,Film
2018-05-15,1,Global
2018-05-15,1,Sport
2018-05-16,1,Music
2018-05-16,2,Opinion
2018-05-16,1,Television & radio
2018-05-16,1,US news
2018-05-17,2,Music
2018-05-17,1,Opinion
2018-05-17,1,Politics
2018-05-17,1,World news
2018-05-18,1,Music
2018-05-18,2,UK news
2018-05-18,1,World news
2018-05-19,1,Music
2018-05-19,1,Sport
2018-05-19,4,UK news
2018-05-20,1,Football
2018-05-20,1,Music
2018-05-20,1,Sport
2018-05-21,1,Books
2018-05-21,1,Opinion
2018-05-21,1,Sport
2018-05-22,2,Sport
2018-05-23,2,Politics
2018-05-23,1,Society
2018-05-24,1,Opinion
2018-05-24,1,Politics
2018-05-24,1,Society
2018-05-24,3,Sport
2018-05-24,1,US news
2018-05-25,1,Music
2018-05-25,1,US news
2018-05-26,2,Sport
2018-05-26,1,Television & radio
2018-05-27,1,Music
2018-05-27,1,Society
2018-05-27,2,Sport
2018-05-28,2,Sport
2018-05-29,1,Education
2018-05-30,1,Art and design
2018-05-30,1,News
2018-05-30,2,Opinion
2018-05-30,1,Science
2018-05-31,2,Business
2018-05-31,1,Global development
2018-05-31,2,Opinion
2018-05-31,1,Politics
2018-06-01,1,Books
2018-06-01,1,Culture
2018-06-01,1,Media
2018-06-01,1,Opinion
2018-06-01,2,Politics
2018-06-01,3,World news
2018-06-03,1,Music
2018-06-03,1,Sport
2018-06-03,1,UK news
2018-06-03,1,World news
2018-06-04,1,Australia news
2018-06-04,1,Technology
2018-06-05,1,Business
2018-06-05,1,Environment
2018-06-05,1,Opinion
2018-06-06,1,Art and design
2018-06-06,1,Football
2018-06-06,1,Music
2018-06-06,2,Sport
2018-06-06,1,Technology
2018-06-06,2,US news
2018-06-06,1,World news
2018-06-07,1,Australia news
2018-06-07,1,Opinion
2018-06-07,1,Politics
2018-06-07,1,Sport
2018-06-07,4,World news
2018-06-08,1,Business
2018-06-08,1,Global development
2018-06-08,1,Sport
2018-06-08,1,US news
2018-06-08,2,World news
2018-06-09,1,Music
2018-06-09,1,Opinion
2018-06-09,1,Sport
2018-06-09,1,Television & radio
2018-06-09,2,US news
2018-06-09,4,World news
2018-06-10,1,Australia news
2018-06-10,1,Environment
2018-06-10,1,Music
2018-06-10,1,UK news
2018-06-10,3,World news
2018-06-11,1,Australia news
2018-06-11,1,Business
2018-06-11,1,Media
2018-06-11,3,Opinion
2018-06-11,2,Politics
2018-06-11,3,Sport
2018-06-11,1,Stage
2018-06-11,1,Television & radio
2018-06-11,2,US news
2018-06-11,3,World news
2018-06-12,1,Business
2018-06-12,1,Culture
2018-06-12,1,Football
2018-06-12,1,Music
2018-06-12,1,Opinion
2018-06-12,1,Sport
2018-06-12,3,US news
2018-06-12,1,World news
2018-06-13,1,Business
2018-06-13,1,Environment
2018-06-13,1,Media
2018-06-13,1,Music
2018-06-13,1,Sport
2018-06-13,1,World news
2018-06-14,1,Opinion
2018-06-14,2,Sport
2018-06-14,1,World news
2018-06-15,1,Media
2018-06-15,3,Music
2018-06-15,2,Opinion
2018-06-15,4,Sport
2018-06-15,1,US news
2018-06-15,2,World news
2018-06-16,1,Football
2018-06-16,2,Sport
2018-06-17,2,Sport
2018-06-17,1,Television & radio
2018-06-18,1,Australia news
2018-06-18,1,Business
2018-06-18,1,World news
2018-06-19,1,Australia news
2018-06-19,1,Film
2018-06-19,1,Global
2018-06-19,2,Media
2018-06-19,1,Opinion
2018-06-19,1,Sport
2018-06-19,2,World news
2018-06-20,1,Business
2018-06-20,1,Music
2018-06-20,1,Politics
2018-06-20,1,Sport
2018-06-20,3,World news
2018-06-21,1,Football
2018-06-21,1,Life and style
2018-06-21,1,Society
2018-06-21,1,World news
2018-06-22,1,Money
2018-06-22,1,Sport
2018-06-22,1,World news
2018-06-23,1,Music
2018-06-23,1,Sport
2018-06-23,2,World news
2018-06-25,1,Business
2018-06-25,1,Media
2018-06-25,1,Opinion
2018-06-25,1,Society
2018-06-26,1,Global
2018-06-26,1,Politics
2018-06-26,1,World news
2018-06-27,1,Sport
2018-06-27,1,UK news
2018-06-27,1,US news
2018-06-28,1,Film
2018-06-28,1,Sport
2018-06-28,1,UK news
2018-06-28,1,US news
2018-06-28,1,World news
2018-06-29,1,Culture
2018-06-29,1,Opinion
2018-06-29,2,Sport
2018-06-29,1,US news
2018-06-29,3,World news
2018-06-30,1,Film
2018-06-30,1,Music
2018-06-30,1,Opinion
2018-06-30,1,World news
2018-07-01,1,Media
2018-07-01,2,Opinion
2018-07-02,1,Politics
2018-07-02,1,UK news
2018-07-02,1,World news
2018-07-03,1,Film
2018-07-03,1,Football
2018-07-03,1,Global
2018-07-03,1,UK news
2018-07-03,1,World news
2018-07-05,1,Music
2018-07-05,1,UK news
2018-07-06,1,Culture
2018-07-06,1,Society
2018-07-06,1,Stage
2018-07-06,1,UK news
2018-07-06,1,US news
2018-07-06,4,World news
2018-07-07,1,Football
2018-07-07,1,World news
2018-07-08,2,Music
2018-07-08,1,Opinion
2018-07-08,1,Television & radio
2018-07-08,2,US news
2018-07-08,1,World news
2018-07-09,1,Football
2018-07-09,1,Politics
2018-07-09,1,Society
2018-07-09,1,Television & radio
2018-07-09,1,World news
2018-07-10,1,Culture
2018-07-10,1,Football
2018-07-10,1,Law
2018-07-10,1,Politics
2018-07-10,3,Sport
2018-07-10,2,World news
2018-07-11,1,Media
2018-07-11,1,Sport
2018-07-11,1,US news
2018-07-11,2,World news
2018-07-12,1,Books
2018-07-12,1,Global development
2018-07-12,1,Music
2018-07-12,1,Sport
2018-07-12,1,Technology
2018-07-12,1,World news
2018-07-13,1,Business
2018-07-13,1,Culture
2018-07-13,1,Media
2018-07-13,2,Music
2018-07-13,1,Politics
2018-07-13,3,Sport
2018-07-13,1,World news
2018-07-15,1,Art and design
2018-07-15,1,World news
2018-07-16,1,Fashion
2018-07-16,1,Opinion
2018-07-16,1,Politics
2018-07-16,2,Sport
2018-07-16,1,US news
2018-07-17,1,Australia news
2018-07-17,1,Cities
2018-07-17,2,Sport
2018-07-17,1,World news
2018-07-18,1,Business
2018-07-18,3,Sport
2018-07-19,4,Sport
2018-07-19,1,UK news
2018-07-19,1,US news
2018-07-20,1,Australia news
2018-07-20,1,Football
2018-07-20,1,Money
2018-07-20,2,Opinion
2018-07-20,4,Sport
2018-07-21,3,Sport
2018-07-22,1,Art and design
2018-07-22,1,Music
2018-07-22,3,Sport
2018-07-23,1,Australia news
2018-07-23,1,Business
2018-07-23,2,Music
2018-07-23,1,Sport
2018-07-23,1,World news
2018-07-24,1,Football
2018-07-24,1,UK news
2018-07-25,1,Media
2018-07-26,1,Business
2018-07-26,1,Society
2018-07-26,1,Sport
2018-07-27,1,Australia news
2018-07-27,1,Media
2018-07-28,1,Media
2018-07-28,1,Travel
2018-07-28,1,World news
2018-07-29,1,Football
2018-07-30,1,Business
2018-07-30,1,Music
2018-07-30,1,Sport
2018-07-30,1,Stage
2018-07-31,1,Environment
2018-07-31,1,Opinion
2018-07-31,1,Television & radio
2018-08-01,1,Media
2018-08-01,1,Television & radio
2018-08-02,2,Australia news
2018-08-02,1,Business
2018-08-02,1,Film
2018-08-02,1,Sport
2018-08-02,1,Technology
2018-08-03,1,Fashion
2018-08-03,1,Film
2018-08-04,1,Art and design
2018-08-04,1,Business
2018-08-04,1,Sport
2018-08-05,1,Global
2018-08-05,1,Opinion
2018-08-05,1,Politics
2018-08-05,1,Sport
2018-08-06,1,World news
2018-08-07,1,Life and style
2018-08-07,2,Sport
2018-08-07,1,World news
2018-08-08,1,Sport
2018-08-08,1,World news
2018-08-09,1,Fashion
2018-08-09,1,Life and style
2018-08-09,1,Music
2018-08-09,1,Opinion
2018-08-09,1,Sport
2018-08-09,1,World news
2018-08-10,1,Film
2018-08-10,1,Music
2018-08-10,2,Sport
2018-08-11,1,From the Observer
2018-08-11,3,Sport
2018-08-11,1,World news
2018-08-12,1,Opinion
2018-08-12,3,Sport
2018-08-12,1,Television & radio
2018-08-12,1,World news
2018-08-13,1,Football
2018-08-13,1,Science
2018-08-13,1,Sport
2018-08-16,1,Australia news
2018-08-16,2,Music
2018-08-16,2,Sport
2018-08-16,1,Travel
2018-08-17,1,Football
2018-08-17,1,Music
2018-08-17,1,Television & radio
2018-08-19,1,Sport
2018-08-19,1,Stage
2018-08-20,1,Football
2018-08-20,1,Media
2018-08-21,1,Music
2018-08-21,1,World news
2018-08-22,1,Australia news
2018-08-22,1,US news
2018-08-23,1,Film
2018-08-23,1,Opinion
2018-08-23,1,US news
2018-08-23,1,World news
2018-08-25,1,Music
2018-08-26,1,Politics
2018-08-26,1,Television & radio
2018-08-26,1,US news
2018-08-27,1,Environment
2018-08-27,1,Opinion
2018-08-27,1,Sport
2018-08-28,1,US news
2018-08-29,1,Science
2018-08-29,1,Society
2018-08-29,1,US news
2018-08-29,1,World news
2018-08-30,1,Art and design
2018-08-30,2,Business
2018-08-30,1,Music
2018-08-30,1,US news
2018-08-30,3,World news
2018-08-31,1,Environment
2018-08-31,1,Money
2018-08-31,2,Music
2018-08-31,3,Sport
2018-09-01,1,Sport
2018-09-01,1,Television & radio
2018-09-02,1,US news
2018-09-03,1,Fashion
2018-09-03,1,Sport
2018-09-03,1,US news
2018-09-04,1,Art and design
2018-09-04,1,Cities
2018-09-04,1,Television & radio
2018-09-04,1,UK news
2018-09-05,1,Business
2018-09-05,1,Fashion
2018-09-05,1,Music
2018-09-05,1,Opinion
2018-09-05,1,Politics
2018-09-05,1,Society
2018-09-05,1,Sport
2018-09-05,1,World news
2018-09-06,1,Music
2018-09-06,1,Politics
2018-09-06,1,Television & radio
2018-09-06,1,UK news
2018-09-07,1,Environment
2018-09-07,1,Money
2018-09-07,1,Sport
2018-09-07,1,US news
2018-09-08,1,Sport
2018-09-08,1,World news
2018-09-09,1,Opinion
2018-09-09,1,Politics
2018-09-09,1,Sport
2018-09-10,1,Fashion
2018-09-10,1,Music
2018-09-10,1,Opinion
2018-09-10,2,Sport
2018-09-10,1,Stage
2018-09-11,1,Business
2018-09-11,1,Fashion
2018-09-11,1,Film
2018-09-12,2,Business
2018-09-12,1,Politics
2018-09-12,1,Sport
2018-09-13,1,Business
2018-09-13,3,Music
2018-09-13,1,Society
2018-09-14,2,Business
2018-09-14,2,Opinion
2018-09-14,1,Sport
2018-09-14,1,Television & radio
2018-09-14,1,UK news
2018-09-14,1,World news
2018-09-15,1,Books
2018-09-15,1,Film
2018-09-15,1,Opinion
2018-09-15,1,Politics
2018-09-15,1,US news
2018-09-16,1,Business
2018-09-16,2,Opinion
2018-09-16,1,Politics
2018-09-16,1,Technology
2018-09-16,1,UK news
2018-09-17,1,Australia news
2018-09-17,1,Society
2018-09-17,1,Sport
2018-09-17,1,World news
2018-09-18,1,Fashion
2018-09-18,1,Media
2018-09-18,1,Television & radio
2018-09-19,2,Australia news
2018-09-19,1,Education
2018-09-19,1,Fashion
2018-09-19,1,Music
2018-09-19,1,Science
2018-09-19,1,Sport
2018-09-19,1,Television & radio
2018-09-19,1,UK news
2018-09-19,2,World news
2018-09-20,1,Sport
2018-09-20,1,UK news
2018-09-21,1,Australia news
2018-09-21,1,Business
2018-09-21,1,Society
2018-09-21,1,Sport
2018-09-22,1,Life and style
2018-09-22,1,Opinion
2018-09-22,3,Sport
2018-09-22,1,Television & radio
2018-09-23,1,Books
2018-09-23,2,Sport
2018-09-23,1,US news
2018-09-24,3,Media
2018-09-24,1,News
2018-09-24,1,Opinion
2018-09-24,1,Sport
2018-09-25,1,Australia news
2018-09-25,2,Media
2018-09-25,1,Music
2018-09-25,1,Opinion
2018-09-25,1,Politics
2018-09-25,1,Society
2018-09-25,2,Sport
2018-09-26,2,Australia news
2018-09-26,5,Media
2018-09-26,1,Politics
2018-09-26,1,Sport
2018-09-26,1,World news
2018-09-27,1,Australia news
2018-09-27,6,Media
2018-09-27,1,Opinion
2018-09-27,1,Sport
2018-09-28,4,Media
2018-09-28,6,Sport
2018-09-28,1,Television & radio
2018-09-28,2,World news
2018-09-29,1,Australia news
2018-09-29,1,Media
2018-09-29,4,Sport
2018-09-29,1,Television & radio
2018-09-29,1,Travel
2018-09-29,1,US news
2018-09-30,1,Environment
2018-09-30,1,Media
2018-09-30,1,Music
2018-09-30,1,Politics
2018-09-30,4,Sport
2018-09-30,1,US news
2018-10-01,1,Australia news
2018-10-01,1,Business
2018-10-01,1,Football
2018-10-01,1,Media
2018-10-01,2,Sport
2018-10-01,1,US news
2018-10-02,1,Environment
2018-10-02,1,Film
2018-10-02,1,Football
2018-10-02,1,Media
2018-10-02,1,Technology
2018-10-02,2,US news
2018-10-03,1,Business
2018-10-03,1,Food
2018-10-03,1,Media
2018-10-03,2,Sport
2018-10-03,1,UK news
2018-10-04,1,Football
2018-10-04,1,Global
2018-10-04,1,Media
2018-10-04,1,Sport
2018-10-05,1,Media
2018-10-05,1,Sport
2018-10-06,1,Fashion
2018-10-06,1,Opinion
2018-10-07,1,Global
2018-10-07,1,Politics
2018-10-08,1,Business
2018-10-08,1,Film
2018-10-08,1,Football
2018-10-08,1,Media
2018-10-09,1,Football
2018-10-09,1,Global development
2018-10-09,1,Society
2018-10-09,1,Sport
2018-10-10,1,Music
2018-10-10,1,Sport
2018-10-10,1,US news
2018-10-10,2,World news
2018-10-11,1,Business
2018-10-11,1,World news
2018-10-12,1,Business
2018-10-12,2,Culture
2018-10-12,2,Media
2018-10-12,1,World news
2018-10-13,1,Film
2018-10-14,1,Film
2018-10-14,1,Opinion
2018-10-15,1,Australia news
2018-10-15,1,Film
2018-10-15,1,Media
2018-10-15,1,Money
2018-10-15,1,Sport
2018-10-15,1,Stage
2018-10-15,1,World news
2018-10-16,1,Global
2018-10-16,5,World news
2018-10-17,1,Film
2018-10-17,1,Media
2018-10-17,1,Opinion
2018-10-17,1,Television & radio
2018-10-17,1,World news
2018-10-18,1,Film
2018-10-18,1,Media
2018-10-18,1,Music
2018-10-18,1,Opinion
2018-10-18,2,Sport
2018-10-18,1,UK news
2018-10-19,1,Culture
2018-10-19,1,Sport
2018-10-19,2,US news
2018-10-19,1,World news
2018-10-20,1,Books
2018-10-20,1,Science
2018-10-21,1,Society
2018-10-22,1,Opinion
2018-10-22,1,Sport
2018-10-22,1,Television & radio
2018-10-22,1,Travel
2018-10-22,1,World news
2018-10-23,1,Education
2018-10-23,1,Football
2018-10-23,1,Media
2018-10-23,2,Sport
2018-10-23,1,World news
2018-10-24,1,Australia news
2018-10-24,1,Business
2018-10-24,1,Music
2018-10-24,1,Sport
2018-10-24,2,US news
2018-10-25,1,Business
2018-10-25,1,Opinion
2018-10-25,3,Sport
2018-10-25,1,World news
2018-10-26,1,Business
2018-10-26,1,Environment
2018-10-26,1,Fashion
2018-10-26,1,Music
2018-10-26,1,Opinion
2018-10-26,1,US news
2018-10-26,1,World news
2018-10-27,1,Sport
2018-10-27,1,US news
2018-10-28,1,Sport
2018-10-28,1,UK news
2018-10-29,1,Football
2018-10-29,1,Music
2018-10-29,1,Politics
2018-10-29,3,Sport
2018-10-29,1,UK news
2018-10-30,2,Music
2018-10-30,1,Opinion
2018-10-30,1,Technology
2018-10-30,1,US news
2018-10-31,1,Australia news
2018-10-31,1,Business
2018-10-31,1,Media
2018-10-31,1,Music
2018-10-31,1,Opinion
2018-11-01,1,Australia news
2018-11-01,2,Business
2018-11-01,1,Life and style
2018-11-01,1,UK news
2018-11-02,1,Music
2018-11-03,1,Football
2018-11-03,1,Politics
2018-11-03,1,Sport
2018-11-03,1,UK news
2018-11-03,1,World news
2018-11-04,1,Opinion
2018-11-04,1,Politics
2018-11-04,1,Society
2018-11-04,1,Sport
2018-11-04,1,Television & radio
2018-11-04,1,UK news
2018-11-05,1,Business
